peak_index,original_peak,drawn_peak,factor
45166,1.0,0.4517378351539234,0.4517378351539234
45239,-1.0,-0.47103469171337675,0.47103469171337675
45313,1.0,0.4517378351539234,0.4517378351539234
45386,-1.0,-0.47103469171337675,0.47103469171337675
45460,1.0,0.4517378351539234,0.4517378351539234
45533,-1.0,-0.47103469171337675,0.47103469171337675
45607,1.0,0.4517378351539234,0.4517378351539234
45680,-1.0,-0.47103469171337675,0.47103469171337675
45754,1.0,0.4517378351539234,0.4517378351539234
45827,-1.0,-0.47103469171337675,0.47103469171337675
45901,1.0,0.4517378351539234,0.4517378351539234
45974,-1.0,-0.47103469171337675,0.47103469171337675
46048,1.0,0.451784603536626,0.451784603536626
46121,-1.0,-0.47103469171337675,0.47103469171337675
46195,1.0,0.4552220796652639,0.4552220796652639
